ID-060121	1.20E+04	1.90E+02	3.60E-01	9.40E-02
ID-060121	1.20E+04	3.40E+02	3.70E-01	7.20E-02
ID-060121	1.60E+04	2.80E+02	2.70E-01	6.90E-02
ID-060121	1.60E+04	3.10E+02	2.40E-01	6.30E-02
ID-060121	1.60E+04	2.00E+02	3.90E-01	1.00E-01
ID-060121	1.70E+04	2.60E+02	2.90E-01	7.60E-02
ID-060121	1.70E+04	2.50E+02	3.10E-01	8.00E-02
ID-060121	1.70E+04	2.40E+02	3.20E-01	8.30E-02
ID-060121	1.80E+04	2.20E+02	3.40E-01	8.90E-02
ID-060121	1.80E+04	2.00E+02	3.80E-01	1.00E-01
ID-060121	1.80E+04	6.20E+02	1.90E-01	3.90E-02
ID-060121	2.20E+04	3.60E+02	2.30E-01	5.60E-02
ID-060121	7.00E+04	1.30E+03	6.00E-02	1.50E-02
ID-060121	7.50E+04	2.50E+03	3.00E-02	7.90E-03
ID-060121	8.10E+04	2.30E+03	5.30E-02	1.10E-02
ID-060121	8.90E+04	7.60E+03	4.30E-02	8.00E-03
ID-060121	1.60E+05	1.20E+04	2.10E-02	4.90E-03
ID-060121	1.70E+05	1.90E+03	3.80E-02	1.00E-02
ID-060121	1.80E+05	7.30E+03	3.30E-02	7.20E-03
ID-060121	2.00E+05	3.60E+04	1.20E-02	3.20E-03
ID-060121	2.50E+05	4.90E+04	1.30E-02	3.40E-03
ID-060121	3.10E+05	6.50E+04	7.70E-03	2.10E-03
ID-060121	4.20E+05	1.50E+05	4.10E-02	1.20E-03
ID-060121	6.30E+05	2.80E+05	3.50E-03	9.70E-04
ID-060121	1.00E+06	8.30E+04	1.80E-03	8.50E-04
ID-060313	4.20E+03	1.60E+02	1.30E+00	5.20E-01
ID-060313	4.30E+03	9.20E+01	1.40E+00	5.20E-01
ID-060313	4.40E+03	9.70E+01	1.70E+00	6.20E-01
ID-060313	4.50E+03	1.30E+02	1.20E+00	4.30E-01
ID-060313	4.70E+03	1.10E+02	1.20E+00	4.50E-01
ID-060313	4.80E+03	1.10E+02	1.10E+00	3.90E-01
ID-060313	4.90E+03	1.30E+02	1.10E+00	4.30E-01
ID-060313	5.00E+03	6.50E+01	2.40E+00	9.10E-01
ID-060313	5.10E+03	1.30E+02	9.10E-01	3.30E-01
ID-060313	5.20E+03	1.50E+02	8.30E-01	3.00E-01
ID-060313	5.40E+03	1.80E+02	6.40E-01	2.30E-01
ID-060313	5.50E+03	1.60E+02	7.50E-01	2.70E-01
ID-060313	5.70E+03	8.50E+01	1.40E+00	5.40E-01
ID-060313	5.80E+03	2.10E+02	6.10E-01	2.30E-01
ID-060313	6.00E+03	1.30E+02	1.20E+00	4.60E-01
ID-060313	6.10E+03	1.50E+02	8.50E-01	3.10E-01
