GRB,TriggerNumber,Observatory,Instrument,Filter,λ_eff,Time (s),Magnitude,Mag error,Source,E(B-V),Extinction,Flux (Jy)
150423A,638808,La Palma,WHT/ACAM,g,4762.28,56822.0,25.3,5-sigma,GCN 17747,0.03,0.0979919028340081,"3.0145535989058876e-07 (+0.0, -inf)"
150423A,,WHT,ACAM,g,4762.28,57888.0,25.2,3-sigma,Rastinejad+2021,0.03,0.0979919028340081,"3.305392292305281e-07 (+0.0, -inf)"
150423A,638808,Johnson,RATIR,r,6149.31,91278,24.82,3-sigma,GCN 17754,0.03,0.06889154742096507,"4.566493753160569e-07 (+0.0, -inf)"
150423A,638808,Johnson,RATIR,i,7531.29,91278,24.79,3-sigma,GCN 17754,0.03,0.05034852588555858,"4.6149357520426595e-07 (+0.0, -inf)"
150423A,638808,Johnson,RATIR,z,8788.01,91278,22.07,3-sigma,GCN 17754,0.03,0.038816845108695645,"5.59181747482789e-06 (+0.0, -inf)"
150423A,,HJT,RATIR,r,6149.311,91584.0,24.8,3-sigma,Rastinejad+2021,0.03,0.06889152579034943,"4.6513911179047857e-07 (+0.0, -inf)"
150423A,,HJT,RATIR,i,7531.293,91584.0,24.7,3-sigma,Rastinejad+2021,0.03,0.05034849400544959,"5.013784305147566e-07 (+0.0, -inf)"
150423A,,HJT,RATIR,z,8788.006,91584.0,22.0,3-sigma,Rastinejad+2021,0.03,0.038816872593167705,"5.964210980257847e-06 (+0.0, -inf)"
150423A,638808,Yunnan,GMG,z,8922.78,777600.0,21.0,UL,GCN 17803,0.03,0.037890824534161476,"1.4968648103737862e-05 (+0.0, -inf)"
150301A,632995,Swift,UVOT,White,3885.68,2498.5,21.88,3-sigma,GCN 17521,3.84,15.2995184545803,"8.469029209568241 (+0.0, -inf)"
150301A,632995,Swift,UVOT,UVW2,2085.73,5037.0,21.55,3-sigma,GCN 17521,3.84,33.10184025257379,"151622045.02066845 (+0.0, -inf)"
150301A,632995,Swift,UVOT,U,3520.95,5123.5,21.1,3-sigma,GCN 17521,3.84,16.495065,"52.24590409948358 (+0.0, -inf)"
150301A,632995,Swift,UVOT,V,5411.43,5243.0,19.39,3-sigma,GCN 17521,3.84,10.561926357615892,"1.0685547813844463 (+0.0, -inf)"
150301A,632995,Swift,UVOT,UVM2,2245.78,5447.0,21.09,3-sigma,GCN 17521,3.84,29.84960667673301,"11584276.623909444 (+0.0, -inf)"
150301A,632995,Swift,UVOT,UVW1,2684.14,5652.5,21.12,3-sigma,GCN 17521,3.84,22.03593883730273,"8441.153227298599 (+0.0, -inf)"
150301A,632995,Swift,UVOT,B,4346.25,7702.5,21.03,3-sigma,GCN 17521,3.84,13.870272,"4.967467666119544 (+0.0, -inf)"
150120A,627137,Lick,KAIT,clear,6414.2,98.0,18.5,UL,GCN 17332,0.1,0.21711061946902657,"0.00017655112801974273 (+0.0, -inf)"
150120A,627137,Swift,UVOT,White,3885.68,158.0,21.4,3-sigma,GCN 17323,0.1,0.39842495975469533,"1.4434316799503518e-05 (+0.0, -inf)"
150120A,627137,ISON-NM,0.4-m,Clear,,196.128,19.0,3-sigma,GCN 17341,0.1,,"nan"
150120A,627137,Swift,UVOT,U,3520.95,420.0,21.12,3-sigma,GCN 17323,0.1,0.429558984375,"1.922426934789292e-05 (+0.0, -inf)"
150120A,627137,Palomar,P60,r,6227.63,900.0,22.5,UL,GCN 17312,0.1,0.225798755186722,"4.4703934796380845e-06 (+0.0, -inf)"
150120A,627137,Palomar,P60,i,7607.72,900.0,22.4,UL,GCN 17312,0.1,0.16512108991825614,"4.635266247645915e-06 (+0.0, -inf)"
150120A,627137,Palomar,P60,z,8974.24,900.0,20.9,UL,GCN 17312,0.1,0.12508628841607566,"1.7785282352737724e-05 (+0.0, -inf)"
150120A,627137,ISON-NM,0.4-m,Clear,,1684.8,20.2,3-sigma,GCN 17341,0.1,,"nan"
150120A,627137,Swift,UVOT,White,3885.68,2878.5,21.8,3-sigma,GCN 17323,0.1,0.39842495975469533,"9.986107405952073e-06 (+0.0, -inf)"
150120A,627137,Swift,UVOT,UVW2,2085.73,3240.0,22.23,3-sigma,GCN 17323,0.1,0.8620270899107757,"1.0299996683752819e-05 (+0.0, -inf)"
150120A,627137,Swift,UVOT,V,5411.43,3354.5,19.49,3-sigma,GCN 17323,0.1,0.2750501655629139,"7.482492929628606e-05 (+0.0, -inf)"
150120A,627137,Swift,UVOT,UVM2,2245.78,3469.5,22.79,3-sigma,GCN 17323,0.1,0.7773335072065889,"5.688000839181508e-06 (+0.0, -inf)"
150120A,627137,Swift,UVOT,U,3520.95,3497.5,21.62,3-sigma,GCN 17323,0.1,0.429558984375,"1.2129693937318466e-05 (+0.0, -inf)"
150120A,627137,Swift,UVOT,UVW1,2684.14,3584.5,22.01,3-sigma,GCN 17323,0.1,0.573852573888092,"9.67313565842126e-06 (+0.0, -inf)"
150120A,627137,Swift,UVOT,B,4346.25,5374.0,20.87,3-sigma,GCN 17323,0.1,0.361205,"2.2725227987586844e-05 (+0.0, -inf)"
150120A,,Gemini-N,GMOS,i,7713.83,6912.0,26.0,3-sigma,Rastinejad+2021,0.1,0.16146416753926704,"1.677304514639257e-07 (+0.0, -inf)"
150120A,,Gemini-N,GMOS,r,6224.52,6912.0,26.1,3-sigma,Rastinejad+2021,0.1,0.22595976653696495,"1.6233424875082073e-07 (+0.0, -inf)"
150120A,627137,Gemini North,GMOS,r,6224.52,7200.0,25.0,3-sigma,GCN 17358,0.1,0.22595976653696495,"4.471056474443496e-07 (+0.0, -inf)"
150120A,,Gemini-N,GMOS,r,6300.0,7200.0,,,Fong+2015,,,"3.6e-07 (+0.0, -inf)"
150120A,,Gemini-N,GMOS,z,9571.59,11232.0,25.4,3-sigma,Rastinejad+2021,0.1,0.11162847826086955,"2.7840539073361113e-07 (+0.0, -inf)"
150120A,,Gemini-N,GMOS,r,6224.52,186624.0,25.7,3-sigma,Rastinejad+2021,0.1,0.22595976653696495,"2.3464437929859877e-07 (+0.0, -inf)"
150101B,,Magellan/Baade,IMACS,r,6650.0,143280.0,,,Fong+2015,,,2.26e-06 ± 3.4e-07
150101B,,Magellan/Baade,IMACS,r,6650.0,228960.0,,,Fong+2015,,,1.4e-06 ± 3.8e-07
150101B,,TNG,NICS,J,12790.0,831600.0,,,Fong+2015,,,"7.59e-06 (+0.0, -inf)"
150101B,,Gemini-S,GMOS,r,6330.0,925200.0,,,Fong+2015,,,"7.6e-07 (+0.0, -inf)"
150101B,,TNG,NICS,J,12790.0,1256400.0,,,Fong+2015,,,"3.98e-06 (+0.0, -inf)"
150101B,,VLT,HAWK-I,H,16200.0,1296000.0,,,Fong+2015,,,"1.45e-06 (+0.0, -inf)"
150101B,,Magellan/Baade,IMACS,r,6650.0,2498400.0,,,Fong+2015,,,"5.3e-07 (+0.0, -inf)"
150101A,623158,Swift,UVOT,White,3885.68,140.0,22.2,3-sigma,GCN 17263,0.52,2.0718097907244157,"3.2266374133021167e-05 (+0.0, -inf)"
150101A,623158,Swift,UVOT,U,3520.95,402.0,21.62,3-sigma,GCN 17263,0.52,2.23370671875,"6.39011886065433e-05 (+0.0, -inf)"
150101A,623158,Swift,UVOT,White,3885.68,794.5,22.9,3-sigma,GCN 17263,0.52,2.0718097907244157,"1.6933633860219753e-05 (+0.0, -inf)"
150101A,623158,Swift,UVOT,U,3520.95,876.0,22.02,3-sigma,GCN 17263,0.52,2.23370671875,"4.420882135653901e-05 (+0.0, -inf)"
150101A,623158,Swift,UVOT,B,4346.25,1016.5,20.27,3-sigma,GCN 17263,0.52,1.878266,"0.00015971019830016232 (+0.0, -inf)"
150101A,623158,Swift,UVOT,UVM2,2245.78,1028.0,21.59,3-sigma,GCN 17263,0.52,4.042134237474262,"0.0003474401020400509 (+0.0, -inf)"
150101A,623158,Swift,UVOT,UVW1,2684.14,1053.5,20.91,3-sigma,GCN 17263,0.52,2.984033384218078,"0.00024526727310707924 (+0.0, -inf)"
150101A,623158,Swift,UVOT,UVW2,2085.73,1066.5,22.13,3-sigma,GCN 17263,0.52,4.482540867536033,"0.000316987835183454 (+0.0, -inf)"
150101A,623158,Swift,UVOT,V,5411.43,1090.5,20.09,3-sigma,GCN 17263,0.52,1.4302608609271523,"0.0001247758661546546 (+0.0, -inf)"
141212A,621229,Akeno,MITSuME,g',4712.55,61.0,19.6,UL,GCN 17160,0.1,0.3307221861471861,"7.117297562952101e-05 (+0.0, -inf)"
141212A,621229,Akeno,MITSuME,Rc,6479.38,61.0,19.0,UL,GCN 17160,0.1,0.2141088744588745,"0.00011108867804496682 (+0.0, -inf)"
141212A,621229,Akeno,MITSuME,Ic,7845.53,61.0,18.3,UL,GCN 17160,0.1,0.15713796296296298,"0.00020085443889062793 (+0.0, -inf)"
141212A,621229,Swift,UVOT,White,3885.68,147.0,21.4,3-sigma,GCN 17180,0.1,0.39842495975469533,"1.4434316799503518e-05 (+0.0, -inf)"
141212A,621229,Xinglong,TNT,R,6414.2,240.0,20.0,3-sigma,GCN 17169,0.1,0.21711061946902657,"4.43476382940503e-05 (+0.0, -inf)"
141212A,621229,Swift,UVOT,U,3520.95,410.5,20.92,3-sigma,GCN 17180,0.1,0.429558984375,"2.311265531847735e-05 (+0.0, -inf)"
141212A,621229,Gingin,Zadko,R,6414.2,417.5,20.3,UL,GCN 17184,0.1,0.21711061946902657,"3.364112391537197e-05 (+0.0, -inf)"
141212A,621229,Akeno,MITSuME,g',4712.55,422.0,20.5,UL,GCN 17160,0.1,0.3307221861471861,"3.1068130689929386e-05 (+0.0, -inf)"
141212A,621229,Akeno,MITSuME,Rc,6479.38,422.0,20.1,UL,GCN 17160,0.1,0.2141088744588745,"4.033386113154859e-05 (+0.0, -inf)"
141212A,621229,Akeno,MITSuME,Ic,7845.53,422.0,19.6,UL,GCN 17160,0.1,0.15713796296296298,"6.065707082781328e-05 (+0.0, -inf)"
141212A,621229,Swift,UVOT,White,3885.68,801.5,22.0,3-sigma,GCN 17180,0.1,0.39842495975469533,"8.306082354611005e-06 (+0.0, -inf)"
141212A,621229,Swift,UVOT,UVW2,2085.73,900.5,20.33,3-sigma,GCN 17180,0.1,0.8620270899107757,"5.92702944627163e-05 (+0.0, -inf)"
141212A,621229,Swift,UVOT,U,3520.95,970.5,21.12,3-sigma,GCN 17180,0.1,0.429558984375,"1.922426934789292e-05 (+0.0, -inf)"
141212A,621229,Swift,UVOT,V,5411.43,1098.0,18.79,3-sigma,GCN 17180,0.1,0.2750501655629139,"0.00014257596349845022 (+0.0, -inf)"
141212A,621229,Swift,UVOT,B,4346.25,1111.0,19.67,3-sigma,GCN 17180,0.1,0.361205,"6.862909135764058e-05 (+0.0, -inf)"
141212A,621229,Swift,UVOT,UVW1,2684.14,1147.5,20.81,3-sigma,GCN 17180,0.1,0.573852573888092,"2.9212402673331285e-05 (+0.0, -inf)"
141212A,621229,NM Skies,T11,R,6414.2,1470.0,19.1,5-sigma,GCN 17185,0.1,0.21711061946902657,"0.00010159457004448508 (+0.0, -inf)"
141212A,621229,Skynet/Perth,R-COP,I,7978.8,1800.0,18.95,3-sigma,GCN 17161,0.1,0.15372969837587008,"0.00011003177736571965 (+0.0, -inf)"
141212A,621229,Khureltogot,ORI-40,R,6414.2,2092.608,18.5,3-sigma,GCN 17168,0.1,0.21711061946902657,"0.00017655112801974273 (+0.0, -inf)"
141212A,621229,Skynet/Perth,R-COP,R,6414.2,2460.0,20.21,3-sigma,GCN 17161,0.1,0.21711061946902657,"3.6548579028937004e-05 (+0.0, -inf)"
141212A,621229,Yunnan,GMG,R,6414.2,2700.0,22.0,UL,GCN 17654,0.1,0.21711061946902657,"7.028627003396798e-06 (+0.0, -inf)"
141212A,621229,Okayama,MITSuME,g',4712.55,3642.624,20.5,3-sigma,GCN 17172,0.1,0.3307221861471861,"3.1068130689929386e-05 (+0.0, -inf)"
141212A,621229,Skynet/Perth,R-COP,B,4380.74,5220.0,19.81,3-sigma,GCN 17161,0.1,0.35828194386258905,"6.016432193310672e-05 (+0.0, -inf)"
141212A,621229,Skynet/Perth,R-COP,V,5445.79,6360.0,20.52,3-sigma,GCN 17161,0.1,0.2743837721518987,"2.8958746405857914e-05 (+0.0, -inf)"
141212A,621229,CAHA,1.23m,I,7978.8,19440.0,21.45,UL,GCN 17167,0.1,0.15372969837587008,"1.1003177736571943e-05 (+0.0, -inf)"
141212A,,CAHA-1.23m,--,I,8865.57,19440.0,,,Fong+2015,,,"1.11e-05 (+0.0, -inf)"
141212A,,Gemini-N,GMOS,i,7713.83,59616.0,25.2,3-sigma,Rastinejad+2021,0.09,0.14531775078534032,"3.452656309860888e-07 (+0.0, -inf)"
141212A,,Gemini-N,GMOS,i,7713.83,151200.0,25.2,3-sigma,Rastinejad+2021,0.09,0.14531775078534032,"3.452656309860888e-07 (+0.0, -inf)"
141212A,621229,Okayama,MITSuME,Rc,6479.38,,20.1,3-sigma,GCN 17172,0.1,0.2141088744588745,"4.033386113154859e-05 (+0.0, -inf)"
141212A,621229,Okayama,MITSuME,Ic,7845.53,,19.4,3-sigma,GCN 17172,0.1,0.15713796296296298,"7.292583896434946e-05 (+0.0, -inf)"
141205A,,Nanshan,--,R,6350.0,41040.0,,,Fong+2015,,,"3.32e-05 (+0.0, -inf)"
140930B,614904,Swift,UVOT,White,3885.68,276.0,21.0,3-sigma,GCN 16869,0.03,0.11952748792640859,"1.613753674217315e-05 (+0.0, -inf)"
140930B,614904,ISON-Kislovodsk,SANTEL-400AN,unfiltered,,630.0,19.5,UL,GCN 16862,0.03,,"nan"
140930B,614904,Swift,UVOT,White,3885.68,1390.0,21.7,3-sigma,GCN 16869,0.03,0.11952748792640859,"8.469099672347292e-06 (+0.0, -inf)"
140930B,614904,Swift,UVOT,UVM2,2245.78,1505.5,20.99,3-sigma,GCN 16869,0.03,0.23320005216197665,"1.8084490167778777e-05 (+0.0, -inf)"
140930B,614904,Swift,UVOT,UVW1,2684.14,1530.5,20.91,3-sigma,GCN 16869,0.03,0.17215577216642758,"1.840299710407967e-05 (+0.0, -inf)"
140930B,614904,Swift,UVOT,UVW2,2085.73,1544.0,21.43,3-sigma,GCN 16869,0.03,0.2586081269732327,"1.234438618081082e-05 (+0.0, -inf)"
140930B,614904,Swift,UVOT,U,3520.95,1554.5,20.42,3-sigma,GCN 16869,0.03,0.1288676953125,"2.7769836772934137e-05 (+0.0, -inf)"
140930B,614904,Swift,UVOT,V,5411.43,1568.0,18.79,3-sigma,GCN 16869,0.03,0.08251504966887416,"0.0001194076823002041 (+0.0, -inf)"
140930B,614904,Swift,UVOT,B,4346.25,1610.0,19.77,3-sigma,GCN 16869,0.03,0.1083615,"4.958734419448699e-05 (+0.0, -inf)"
140930B,614904,CAHA,1.23m,R,6477.4,2022,21.21,UL,GCN 16860,0.03,0.0642648051948052,"1.263956626175552e-05 (+0.0, -inf)"
140930B,614904,WHT,ACAM,r,6256.18,10800.0,21.8,0,GCN 16861,0.03,0.06726576763485477,7.360927766301157e-06 ± 0.0
140930B,,WHT,ACAM,r,6400.0,10800.0,,,Fong+2015,,,"7.4e-06 (+0.0, -inf)"
140930B,,ESO/MPG,GROND,r,6220.0,26280.0,,,Fong+2015,,,2e-06 ± 4.1e-07
140930B,614904,ESO/La Silla,GROND,r',6097.98,27300.0,23.2,0.2,GCN 16872,0.03,0.07000184692179702,2.0324833084381253e-06 ± 3.743972614215077e-07
140930B,614904,MMT,MMTCam,r,6122.94,27936,24.0,0.2,GCN 16863,0.03,0.06946194675540768,9.723240492181555e-07 ± 1.791087089031467e-07
140930B,614904,MMT,MMTCam,r,6122.94,28080.0,26.2,0.2,GCN 16863,0.03,0.06946194675540768,1.2817727299422827e-07 ± 2.3611126244571065e-08
140930B,,Magellan/Baade,IMACS,i,7700.0,28080.0,,,Fong+2015,,,2.2e-06 ± 3e-07
140930B,,MMT,MMTCam,r,6230.0,28080.0,,,Fong+2015,,,9.7e-07 ± 2e-07
140930B,,Keck,MOSFIRE,K_s,,47160.0,,,Fong+2015,,,3.1e-06 ± 9.7e-07
140930B,614904,Keck,MOSFIRE,Ks,21303.69,47232,20.8,0.3,GCN 16867,0.03,0.009553395381688735,1.7532651771734857e-05 ± 4.84445071323028e-06
140930B,,Keck,MOSFIRE,J,12530.0,47880.0,,,Fong+2015,,,2.1e-06 ± 4.3e-07
140930B,614904,Keck,MOSFIRE,J,12431.17,47916.0,22.2,0.2,GCN 16867,0.03,0.021448984396200813,4.88209069040211e-06 ± 8.993143397091929e-07
140903A,611599,Swift,UVOT,White,3885.68,152.0,20.81,3-sigma,GCN 16772,0.03,0.11952748792640859,"1.9223711673361903e-05 (+0.0, -inf)"
140903A,611599,Swift,UVOT,U,3520.95,414.0,18.42,3-sigma,GCN 16772,0.03,0.1288676953125,"0.000175215824668989 (+0.0, -inf)"
140903A,611599,Swift,UVOT,UVM2,2245.78,3628.0,20.49,3-sigma,GCN 16772,0.03,0.23320005216197665,"2.866198535604248e-05 (+0.0, -inf)"
140903A,611599,Swift,UVOT,White,3885.68,8763.0,21.8,3-sigma,GCN 16772,0.03,0.11952748792640859,"7.723910700766296e-06 (+0.0, -inf)"
140903A,611599,Swift,UVOT,B,4346.25,8886.0,19.87,3-sigma,GCN 16772,0.03,0.1083615,"4.5224195400244385e-05 (+0.0, -inf)"
140903A,611599,Swift,UVOT,U,3520.95,11846.5,19.22,3-sigma,GCN 16772,0.03,0.1288676953125,"8.386356633770535e-05 (+0.0, -inf)"
140903A,611599,Swift,UVOT,UVW1,2684.14,12032.0,19.91,3-sigma,GCN 16772,0.03,0.17215577216642758,"4.622623872484786e-05 (+0.0, -inf)"
140903A,611599,ISON-Kislovodsk,SANTEL-400AN,None,,12145.248,18.6,3-sigma,GCN 16779,0.03,,"nan"
140903A,611599,Swift,UVOT,V,5411.43,15021.5,18.89,3-sigma,GCN 16772,0.03,0.08251504966887416,"0.00010890110056015317 (+0.0, -inf)"
140903A,611599,Swift,UVOT,UVW2,2085.73,17145.0,20.33,3-sigma,GCN 16772,0.03,0.2586081269732327,"3.399926274428013e-05 (+0.0, -inf)"
140903A,611599,DCT,LMI,r',6100.37,43200.0,21.7,0.3,GCN 16769/16785,0.03,0.06995014975041598,8.091076526591709e-06 ± 2.2356470635684933e-06
140903A,611599,Palomar,P60,r',6227.63,43920.0,20.0,0.5,GCN 16770,0.03,0.06773962655601659,3.864756173027259e-05 ± 1.779785990413857e-05
140903A,,DCT,LMI,r,6240.0,43920.0,,,Fong+2015,,,7.6e-06 ± 3.1e-06
140903A,611599,Faulkes North,Faulkes North,r',6202.58,56160.0,20.4,0.5,GCN 16781,0.03,0.06809526070038911,2.674633951517007e-05 ± 1.231714453195764e-05
140903A,611599,NOT,StanCam,R,6435.17,107632.8,20.1,0.5,GCN 16783,0.03,0.06495035714285714,3.5156561469034454e-05 ± 1.619019487190552e-05
140903A,611599,NOT,NOTCam,H,16131.62,109134.0,16.1,0.3,GCN 16783,0.03,0.014119059619577474,0.0013355921959922077 ± 0.00036903776169730084
140903A,,MMT,MMTCam,i,7591.2,648000.0,22.9,3-sigma,Rastinejad+2021,0.03,0.04971188010899182,"2.6297290319018076e-06 (+0.0, -inf)"
140903A,,MMT,MMTCam,r,6122.94,650592.0,22.6,3-sigma,Rastinejad+2021,0.03,0.06946194675540768,"3.530295243963152e-06 (+0.0, -inf)"
140622A,602278,ESO/La Silla,TAROT,R,6414.2,53.2,17.5,UL,GCN 16468,0.07,0.15197743362831861,"0.0004176545551145407 (+0.0, -inf)"
140622A,602278,ESO/La Silla,TAROT,R,6414.2,111.6,18.0,UL,GCN 16468,0.07,0.15197743362831861,"0.00026352220900512704 (+0.0, -inf)"
140622A,602278,Swift,UVOT,White,3885.68,171.5,22.0,3-sigma,GCN 16446,0.07,0.2788974718282867,"7.44021075309894e-06 (+0.0, -inf)"
140622A,602278,Lick,KAIT,clear,,198.0,19.0,UL,GCN 16441,0.07,,"nan"
140622A,602278,ESO/La Silla,TAROT,R,6414.2,242.85,18.4,UL,GCN 16468,0.07,0.15197743362831861,"0.00018231282571472024 (+0.0, -inf)"
140622A,602278,ESO/La Silla,GROND,g',4504.49,252.0,24.3,3-sigma,GCN 16435,0.07,0.2435392961876833,"8.658486165844825e-07 (+0.0, -inf)"
140622A,602278,ESO/La Silla,GROND,r',6097.98,252.0,24.3,3-sigma,GCN 16435,0.07,0.1633376428175264,"8.041948841671488e-07 (+0.0, -inf)"
140622A,602278,ESO/La Silla,GROND,i',7604.74,252.0,24.1,3-sigma,GCN 16435,0.07,0.11565865395095369,"9.253152302195484e-07 (+0.0, -inf)"
140622A,602278,ESO/La Silla,GROND,z',8929.33,252.0,24.1,3-sigma,GCN 16435,0.07,0.08830359338061465,"9.022932039092993e-07 (+0.0, -inf)"
140622A,602278,ESO/La Silla,GROND,J,12246.51,252.0,21.3,3-sigma,GCN 16435,0.07,0.05164822225081489,"1.1499674236683758e-05 (+0.0, -inf)"
140622A,602278,ESO/La Silla,GROND,H,16330.2,252.0,20.9,3-sigma,GCN 16435,0.07,0.032286072475753706,"1.632828897743512e-05 (+0.0, -inf)"
140622A,602278,ESO/La Silla,GROND,K,21550.42,252.0,19.4,3-sigma,GCN 16435,0.07,0.02181306635526341,"6.438007458060374e-05 (+0.0, -inf)"
140622A,,ESO/MPG,GROND,r,6220.0,252,,,Fong+2015,,,"8.0e-07 (+0.0, -inf)"
140622A,,ESO/MPG,GROND,J,12400.0,252,,,Fong+2015,,,"1.14e-05 (+0.0, -inf)"
140622A,602278,Swift,UVOT,U,3520.95,434.0,21.02,3-sigma,GCN 16446,0.07,0.30069128906250003,"1.8719867244794287e-05 (+0.0, -inf)"
140622A,602278,Swift,UVOT,White,3885.68,727.5,22.0,3-sigma,GCN 16446,0.07,0.2788974718282867,"7.44021075309894e-06 (+0.0, -inf)"
140622A,602278,Swift,UVOT,U,3520.95,809.0,21.22,3-sigma,GCN 16446,0.07,0.30069128906250003,"1.557050737407146e-05 (+0.0, -inf)"
140622A,602278,NM Skies,T11,R,6414.2,870.0,18.5,5-sigma,GCN 16448,0.07,0.15197743362831861,"0.00016627127320542934 (+0.0, -inf)"
140622A,602278,Swift,UVOT,B,4346.25,949.0,19.97,3-sigma,GCN 16446,0.07,0.2528435,"4.711548314171947e-05 (+0.0, -inf)"
140622A,602278,Swift,UVOT,UVM2,2245.78,961.5,22.29,3-sigma,GCN 16446,0.07,0.5441334550446123,"7.272431360509e-06 (+0.0, -inf)"
140622A,602278,Swift,UVOT,UVW1,2684.14,986.5,21.11,3-sigma,GCN 16446,0.07,0.4016968017216644,"1.8910585244918764e-05 (+0.0, -inf)"
140622A,602278,Swift,UVOT,UVW2,2085.73,998.5,21.93,3-sigma,GCN 16446,0.07,0.603418962937543,"1.0700247769104163e-05 (+0.0, -inf)"
140622A,602278,Swift,UVOT,V,5411.43,1023.0,19.59,3-sigma,GCN 16446,0.07,0.19253511589403974,"6.324705313501307e-05 (+0.0, -inf)"
140622A,602278,Johnson,RATIR,r,6149.31,3096.0,23.64,3-sigma,GCN 16436,0.07,0.16074694398225184,"1.4734147952844596e-06 (+0.0, -inf)"
140622A,602278,Johnson,RATIR,i,7531.29,3096.0,23.49,3-sigma,GCN 16436,0.07,0.11747989373297003,"1.625616903107494e-06 (+0.0, -inf)"
140622A,602278,Johnson,RATIR,Z,8788.01,3096.0,19.41,3-sigma,GCN 16436,0.07,0.09057263858695652,"6.796030266369361e-05 (+0.0, -inf)"
140622A,602278,Johnson,RATIR,Y,10172.74,3096.0,18.73,3-sigma,GCN 16436,0.07,0.07064763262531862,"0.00012482032296676007 (+0.0, -inf)"
140619B,,Magellan/Baade,Fourstar,J,12650.0,127800.0,,,Fong+2015,,,"2.54e-06 (+0.0, -inf)"
140606A,,AAO,--,R,6540.0,26280.0,,,Fong+2015,,,"6.46e-06 (+0.0, -inf)"
140516A,599188,MASTER,MASTER II,P|,,49.0,17.0,UL,GCN 16288,0.02,,"nan"
140516A,599188,MASTER,MASTER II,P-,,49.0,16.9,UL,GCN 16288,0.02,,"nan"
140516A,599188,Swift,UVOT,White,3885.68,159.0,21.3,3-sigma,GCN 16293,0.02,0.07968499195093906,"1.1800495556578058e-05 (+0.0, -inf)"
140516A,599188,Swift,UVOT,U,3520.95,422.5,22.22,3-sigma,GCN 16293,0.02,0.085911796875,"5.086171121177204e-06 (+0.0, -inf)"
140516A,599188,MASTER,MASTER II,P|,,466.0,19.6,UL,GCN 16288,0.02,,"nan"
140516A,599188,MASTER,MASTER II,P|,,466.0,19.3,UL,GCN 16288,0.02,,"nan"
140516A,599188,MASTER,MASTER II,P|,,2914.0,20.6,UL,GCN 16288,0.02,,"nan"
140516A,599188,MASTER,MASTER II,P-,,2914.0,20.4,UL,GCN 16288,0.02,,"nan"
140516A,599188,MASTER,MASTER II,P| + P-,,2914.0,21.0,UL,GCN 16288,0.02,,"nan"
140516A,599188,Swift,UVOT,UVW2,2085.73,4080.0,22.83,3-sigma,GCN 16293,0.02,0.17240541798215514,"3.1404249285120744e-06 (+0.0, -inf)"
140516A,599188,Swift,UVOT,V,5411.43,4194.5,19.49,3-sigma,GCN 16293,0.02,0.055010033112582776,"6.109845975584024e-05 (+0.0, -inf)"
140516A,599188,Swift,UVOT,U,3520.95,4305.5,22.02,3-sigma,GCN 16293,0.02,0.085911796875,"6.114922647369525e-06 (+0.0, -inf)"
140516A,599188,Swift,UVOT,UVM2,2245.78,4309.0,22.69,3-sigma,GCN 16293,0.02,0.15546670144131777,"3.5173284874926105e-06 (+0.0, -inf)"
140516A,599188,Swift,UVOT,UVW1,2684.14,4424.0,23.11,3-sigma,GCN 16293,0.02,0.11477051477761839,"2.3010945023200066e-06 (+0.0, -inf)"
140516A,599188,TNG,DOLoRes,r,6128.29,5580.0,23.0,3-sigma,GCN 16286,0.02,0.046230815307820305,"2.3906641833020206e-06 (+0.0, -inf)"
140516A,,TNG,DOLORES,r,6200.0,5760.0,,,Fong+2015,,,"2.38e-06 (+0.0, -inf)"
140516A,599188,Swift,UVOT,White,3885.68,6385.0,21.4,3-sigma,GCN 16293,0.02,0.07968499195093906,"1.0762179857370416e-05 (+0.0, -inf)"
140516A,599188,Swift,UVOT,B,4346.25,6467.0,20.77,3-sigma,GCN 16293,0.02,0.072241,"1.9095131297438324e-05 (+0.0, -inf)"
140516A,,NOT,ALFOSC,R,6460.0,6480.0,,,Fong+2015,,,"5e-07 (+0.0, -inf)"
140516A,599188,NOT,ALFOSC,R,6330.81,6570.0,24.71,3-sigma,GCN 16290,0.02,0.044047093491124255,"4.939068919316337e-07 (+0.0, -inf)"
140516A,599188,Subaru,IRCS,Kp,20941.68,41580.0,24.05,3-sigma,GCN 16296,0.02,0.0065693915958789295,"8.763024089167019e-07 (+0.0, -inf)"
140516A,,Subaru,IRCS+AO188,K',21200.0,41760.0,,,Fong+2015,,,"8.4e-07 (+0.0, -inf)"
140516A,599188,Gemini North,GMOS,i,7713.83,44568.0,26.1,3-sigma,GCN 16294,0.02,0.032292833507853405,"1.3581363788325349e-07 (+0.0, -inf)"
140516A,,Gemini-N,GMOS,i,7800.0,44640.0,,,Fong+2015,,,"1.4e-07 (+0.0, -inf)"
140516A,599188,Johnson,RATIR,r,6149.31,46746,23.57,3-sigma,GCN 16297,0.02,0.04592769828064338,"1.4138304411985698e-06 (+0.0, -inf)"
140516A,599188,Johnson,RATIR,i,7531.29,46746,23.39,3-sigma,GCN 16297,0.02,0.03356568392370572,"1.6498806248209919e-06 (+0.0, -inf)"
140516A,599188,Johnson,RATIR,Z,8788.01,46746,21.7,3-sigma,GCN 16297,0.02,0.02587789673913043,"7.769219787573759e-06 (+0.0, -inf)"
