GRB,TriggerNumber,Observatory,Instrument,Filter,λ_eff,Time (s),Magnitude,Mag error,Source,E(B-V),Extinction,Flux (Jy)
180418A,826428,Johnson,RATIR,i,7531.29,4130.6,19.69,0.1,2019ApJ...881...12B,0.02,0.03356568392370572,4.982559831386112e-05 ± 4.589107197080236e-06
180418A,826428,Swift,UVOT,B,4346.25,4163.775,20.3,0.3,2019ApJ...881...12B,0.02,0.072241,2.9438972570391892e-05 ± 8.1342887272374e-06
180418A,826428,Johnson,RATIR,r,6149.31,4247.0,20.34,0.15,2019ApJ...881...12B,0.02,0.04592769828064338,2.7694742289824408e-05 ± 3.826170045051688e-06
180418A,826428,Johnson,RATIR,i,7531.29,4247.0,19.7,0.09,2019ApJ...881...12B,0.02,0.03356568392370572,4.9368794482768865e-05 ± 4.092330608463971e-06
180418A,826428,Swift,UVOT,White,3885.68,4370.02,21.2,0.15,2019ApJ...881...12B,0.02,0.07968499195093906,1.2938986081472405e-05 ± 1.7875869881793479e-06
180418A,826428,Johnson,RATIR,r,6149.31,4427.7,20.3,0.13,2019ApJ...881...12B,0.02,0.04592769828064338,2.873408209444964e-05 ± 3.4404587927604377e-06
180418A,826428,Johnson,RATIR,i,7531.29,4427.7,19.99,0.1,2019ApJ...881...12B,0.02,0.03356568392370572,3.779658154330703e-05 ± 3.481193809110106e-06
180418A,826428,Johnson,RATIR,r,6149.31,4519.2,20.25,0.12,2019ApJ...881...12B,0.02,0.04592769828064338,3.008827766313637e-05 ± 3.3254793418081695e-06
180418A,826428,Johnson,RATIR,i,7531.29,4519.2,20.06,0.12,2019ApJ...881...12B,0.02,0.03356568392370572,3.5436638846680584e-05 ± 3.916602065000662e-06
180418A,826428,Swift,UVOT,UVW2,2085.73,4575.645,22.63,3-sigma,2019ApJ...881...12B,0.02,0.17240541798215514,"3.775621201135999e-06 (+0.0, -inf)"
180418A,826428,Johnson,RATIR,r,6149.31,4607.9,20.34,0.13,2019ApJ...881...12B,0.02,0.04592769828064338,2.7694742289824408e-05 ± 3.3160140390447965e-06
180418A,826428,Johnson,RATIR,i,7531.29,4607.9,19.97,0.11,2019ApJ...881...12B,0.02,0.03356568392370572,3.849927245789772e-05 ± 3.900505437517548e-06
180418A,826428,Johnson,RATIR,r,6149.31,4706.5,20.12,0.11,2019ApJ...881...12B,0.02,0.04592769828064338,3.391543004258972e-05 ± 3.4360992000961786e-06
180418A,826428,Johnson,RATIR,i,7531.29,4706.5,20.08,0.11,2019ApJ...881...12B,0.02,0.03356568392370572,3.4789847295270805e-05 ± 3.5246896858637102e-06
180418A,826428,Johnson,RATIR,r,6149.31,4818.2,20.16,0.11,2019ApJ...881...12B,0.02,0.04592769828064338,3.268867582373632e-05 ± 3.3118121371038052e-06
180418A,826428,Johnson,RATIR,r,6149.31,4818.2,20.16,0.11,2019ApJ...881...12B,0.02,0.04592769828064338,3.268867582373632e-05 ± 3.3118121371038052e-06
180418A,826428,Johnson,RATIR,i,7531.29,4818.2,20.01,0.1,2019ApJ...881...12B,0.02,0.03356568392370572,3.7106716183328706e-05 ± 3.4176548613477443e-06
180418A,826428,Johnson,RATIR,i,7531.29,4818.2,20.2,0.04,2019ApJ...881...12B,0.02,0.03356568392370572,3.1149603467036314e-05 ± 1.1475938015339754e-06
180418A,826428,Johnson,RATIR,r,6149.31,4928.05,19.96,0.1,2019ApJ...881...12B,0.02,0.04592769828064338,3.930043235761625e-05 ± 3.6197035877947213e-06
180418A,826428,Johnson,RATIR,i,7531.29,4928.1,19.89,0.11,2019ApJ...881...12B,0.02,0.03356568392370572,4.1443127550984006e-05 ± 4.198758419061651e-06
180418A,826428,Johnson,RATIR,r,6149.31,5016.1,20.28,0.15,2019ApJ...881...12B,0.02,0.04592769828064338,2.9268288565046344e-05 ± 4.043563496839429e-06
180418A,826428,Johnson,RATIR,r,6149.31,5108.0,20.3,0.13,2019ApJ...881...12B,0.02,0.04592769828064338,2.873408209444964e-05 ± 3.4404587927604377e-06
180418A,826428,Johnson,RATIR,i,7531.29,5108.0,20.29,0.13,2019ApJ...881...12B,0.02,0.03356568392370572,2.86716391715147e-05 ± 3.4329822252977628e-06
180418A,826428,Johnson,RATIR,r,6149.31,5196.0,20.36,0.13,2019ApJ...881...12B,0.02,0.04592769828064338,2.7189256275503738e-05 ± 3.2554899618576254e-06
180418A,826428,Johnson,RATIR,i,7531.29,5196.0,20.34,0.14,2019ApJ...881...12B,0.02,0.03356568392370572,2.7381202837878236e-05 ± 3.5306627710337035e-06
180418A,826428,Johnson,RATIR,r,6149.31,5287.9,20.32,0.13,2019ApJ...881...12B,0.02,0.04592769828064338,2.820962599079324e-05 ± 3.3776633428375712e-06
180418A,826428,Johnson,RATIR,i,7531.29,5287.9,20.04,0.12,2019ApJ...881...12B,0.02,0.03356568392370572,3.609545515081289e-05 ± 3.989417133844652e-06
180418A,826428,Johnson,RATIR,r,6149.31,5388.4,19.92,0.09,2019ApJ...881...12B,0.02,0.04592769828064338,4.0775315324960555e-05 ± 3.3799907962578905e-06
180418A,826428,Johnson,RATIR,i,7531.29,5388.4,20.16,0.13,2019ApJ...881...12B,0.02,0.03356568392370572,3.231859873851346e-05 ± 3.869648831451377e-06
180418A,826428,Johnson,RATIR,r,6149.31,5487.4,20.48,0.16,2019ApJ...881...12B,0.02,0.04592769828064338,2.4344302070584125e-05 ± 3.58750893101255e-06
180418A,826428,Johnson,RATIR,i,7531.29,5487.4,20.35,0.14,2019ApJ...881...12B,0.02,0.03356568392370572,2.713017046135829e-05 ± 3.4982934601838155e-06
180418A,826428,Johnson,RATIR,r,6149.31,5535.25,20.33,0.04,2019ApJ...881...12B,0.02,0.04592769828064338,2.7950998585155373e-05 ± 1.0297528428236228e-06
180418A,826428,Johnson,RATIR,r,6149.31,5535.25,20.33,0.04,2019ApJ...881...12B,0.02,0.04592769828064338,2.7950998585155373e-05 ± 1.0297528428236228e-06
180418A,826428,Johnson,RATIR,i,7531.29,5535.25,20.01,0.1,2019ApJ...881...12B,0.02,0.03356568392370572,3.7106716183328706e-05 ± 3.4176548613477443e-06
180418A,826428,Johnson,RATIR,i,7531.29,5535.25,20.2,0.04,2019ApJ...881...12B,0.02,0.03356568392370572,3.1149603467036314e-05 ± 1.1475938015339754e-06
180418A,826428,McDonald,SQUEAN,r,6112.13,5616,20.44,0.07,GCN 22668,0.02,0.04646384914032169,2.527038092832554e-05 ± 1.6292416677556161e-06
180418A,826428,Johnson,RATIR,r,6149.31,5670.6,20.47,0.15,2019ApJ...881...12B,0.02,0.04592769828064338,2.456955712425971e-05 ± 3.3944097585471643e-06
180418A,826428,Johnson,RATIR,i,7531.29,5670.6,20.21,0.14,2019ApJ...881...12B,0.02,0.03356568392370572,3.086402218588199e-05 ± 3.9797540941227665e-06
180418A,826428,Johnson,RATIR,r,6149.31,5768.5,20.23,0.13,2019ApJ...881...12B,0.02,0.04592769828064338,3.0647660509051824e-05 ± 3.669580003610822e-06
180418A,826428,Johnson,RATIR,i,7531.29,5768.5,20.29,0.15,2019ApJ...881...12B,0.02,0.03356568392370572,2.86716391715147e-05 ± 3.961133336882033e-06
180418A,826428,Johnson,RATIR,r,6149.31,5866.9,20.34,0.14,2019ApJ...881...12B,0.02,0.04592769828064338,2.7694742289824408e-05 ± 3.571092042048243e-06
180418A,826428,Johnson,RATIR,i,7531.29,5866.9,20.24,0.13,2019ApJ...881...12B,0.02,0.03356568392370572,3.0022891895907452e-05 ± 3.5947736930605887e-06
180418A,826428,McDonald,SQUEAN,i,7589.5,5875.2,20.34,0.04,GCN 22668,0.02,0.03315329700272479,2.737080481878086e-05 ± 1.0083777145435906e-06
180418A,826428,Johnson,RATIR,r,6149.31,6153.6,20.4,0.15,2019ApJ...881...12B,0.02,0.04592769828064338,2.620579432908068e-05 ± 3.620464282332545e-06
180418A,826428,Johnson,RATIR,i,7531.29,6153.6,20.34,0.17,2019ApJ...881...12B,0.02,0.03356568392370572,2.7381202837878236e-05 ± 4.2872333648266395e-06
180418A,826428,McDonald,SQUEAN,z,8656.0,6220.8,20.61,0.12,GCN 22668,0.02,0.026509786772677985,2.1214371197098572e-05 ± 2.344698954032708e-06
180418A,826428,Johnson,RATIR,r,6149.31,6252.3,20.43,0.16,2019ApJ...881...12B,0.02,0.04592769828064338,2.5491613680483343e-05 ± 3.756583018050818e-06
180418A,826428,Johnson,RATIR,r,6149.31,6364.4,20.53,0.15,2019ApJ...881...12B,0.02,0.04592769828064338,2.3248627989274157e-05 ± 3.211916654440009e-06
180418A,826428,Johnson,RATIR,r,6149.31,6364.4,20.53,0.15,2019ApJ...881...12B,0.02,0.04592769828064338,2.3248627989274157e-05 ± 3.211916654440009e-06
180418A,826428,Johnson,RATIR,i,7531.29,6364.4,20.3,0.12,2019ApJ...881...12B,0.02,0.03356568392370572,2.840877600357548e-05 ± 3.1398539585299134e-06
180418A,826428,Johnson,RATIR,i,7531.29,6364.4,20.51,0.05,2019ApJ...881...12B,0.02,0.03356568392370572,2.341275510541333e-05 ± 1.0781972178328994e-06
180418A,826428,Johnson,RATIR,i,7531.29,6475.7,20.24,0.13,2019ApJ...881...12B,0.02,0.03356568392370572,3.0022891895907452e-05 ± 3.5947736930605887e-06
180418A,826428,McDonald,SQUEAN,r,6112.13,6480,20.57,0.08,GCN 22668,0.02,0.04646384914032169,2.241877036705345e-05 ± 1.6518760464138859e-06
180418A,826428,Johnson,RATIR,r,6149.31,6563.2,20.44,0.14,2019ApJ...881...12B,0.02,0.04592769828064338,2.5257905161488317e-05 ± 3.2568746506856213e-06
180418A,826428,Johnson,RATIR,i,7531.29,6563.2,20.2,0.12,2019ApJ...881...12B,0.02,0.03356568392370572,3.1149603467036314e-05 ± 3.4427814046019264e-06
180418A,826428,Johnson,RATIR,r,6149.31,6606.0,19.95,0.01,GCN 22652,0.02,0.04592769828064338,3.966407478098584e-05 ± 3.653196292723963e-07
180418A,826428,Johnson,RATIR,r,6149.31,6663.35,20.42,0.14,2019ApJ...881...12B,0.02,0.04592769828064338,2.572748467777968e-05 ± 3.31742447116014e-06
180418A,826428,Johnson,RATIR,i,7531.29,6663.35,20.67,0.17,2019ApJ...881...12B,0.02,0.03356568392370572,2.0204705400093313e-05 ± 3.1635676354561993e-06
180418A,826428,Johnson,RATIR,r,6149.31,6772.1,20.61,0.16,2019ApJ...881...12B,0.02,0.04592769828064338,2.159719394078691e-05 ± 3.1826801163876653e-06
180418A,826428,Johnson,RATIR,i,7531.29,6772.1,20.99,0.24,2019ApJ...881...12B,0.02,0.03356568392370572,1.5047090134800485e-05 ± 3.326131721983619e-06
180418A,826428,Johnson,RATIR,r,6149.31,6865.8,20.43,0.14,2019ApJ...881...12B,0.02,0.04592769828064338,2.5491613680483343e-05 ± 3.2870101407944656e-06
180418A,826428,Johnson,RATIR,i,7531.29,6865.8,20.25,0.14,2019ApJ...881...12B,0.02,0.03356568392370572,2.97476403685272e-05 ± 3.835802502801844e-06
180418A,826428,Johnson,RATIR,i,7531.29,6963.6,20.46,0.17,2019ApJ...881...12B,0.02,0.03356568392370572,2.451616425940272e-05 ± 3.8386376965544e-06
180418A,826428,Johnson,RATIR,r,6149.31,7104.1,20.72,0.06,2019ApJ...881...12B,0.02,0.04592769828064338,1.9516292938470628e-05 ± 1.0785102045750582e-06
180418A,826428,Johnson,RATIR,r,6149.31,7104.1,20.72,0.06,2019ApJ...881...12B,0.02,0.04592769828064338,1.9516292938470628e-05 ± 1.0785102045750582e-06
180418A,826428,Johnson,RATIR,i,7531.29,7104.1,20.3,0.12,2019ApJ...881...12B,0.02,0.03356568392370572,2.840877600357548e-05 ± 3.1398539585299134e-06
180418A,826428,Johnson,RATIR,i,7531.29,7104.1,20.51,0.05,2019ApJ...881...12B,0.02,0.03356568392370572,2.341275510541333e-05 ± 1.0781972178328994e-06
180418A,826428,Johnson,RATIR,i,7531.29,7151.3,20.48,0.17,2019ApJ...881...12B,0.02,0.03356568392370572,2.4068693832408727e-05 ± 3.76857466259126e-06
180418A,826428,Johnson,RATIR,i,7531.29,7358.6,20.53,0.18,2019ApJ...881...12B,0.02,0.03356568392370572,2.2985424165170128e-05 ± 3.810664442798342e-06
180418A,826428,Johnson,RATIR,i,7531.29,7458.1,20.52,0.15,2019ApJ...881...12B,0.02,0.03356568392370572,2.3198105676394787e-05 ± 3.2049367389700315e-06
180418A,826428,Johnson,RATIR,i,7531.29,8582.3,20.64,0.25,2019ApJ...881...12B,0.02,0.03356568392370572,2.0770766450139917e-05 ± 4.782645719815302e-06
180418A,826428,Johnson,RATIR,r,6149.31,9125.0,21.56,0.15,2019ApJ...881...12B,0.02,0.04592769828064338,9.003208922785122e-06 ± 1.2438392792829602e-06
180418A,826428,Johnson,RATIR,i,7531.29,9125.05,20.85,0.08,2019ApJ...881...12B,0.02,0.03356568392370572,1.7117980309593564e-05 ± 1.2612994010571438e-06
180418A,826428,Johnson,RATIR,i,7531.29,10710.65,20.96,0.1,2019ApJ...881...12B,0.02,0.03356568392370572,1.5468653897952988e-05 ± 1.4247156749644317e-06
180418A,826428,Gemini North,GMOS,r,6224.52,11232.0,21.29,0.06,2021ApJ...912...95R,0.02,0.04519195330739299,1.1537269307869828e-05 ± 6.375730637318111e-07
180418A,826428,Johnson,RATIR,i,7531.29,12304.0,21.22,0.13,2019ApJ...881...12B,0.02,0.03356568392370572,1.2174538922634598e-05 ± 1.4577114155413792e-06
180418A,826428,Gemini North,GMOS,i,7713.83,14688.0,21.33,0.16,2021ApJ...912...95R,0.02,0.032292833507853405,1.0988625746383851e-05 ± 1.6193437335112977e-06
180418A,826428,Gemini North,GMOS,g,4647.53,14724,22.0,0.1,GCN 22659,0.02,0.0672853987975952,6.122663740405936e-06 ± 5.63918170322955e-07
180418A,826428,Gemini North,GMOS,r,6224.52,14724,21.6,0.2,GCN 22659,0.02,0.04519195330739299,8.671675746248527e-06 ± 1.5973817043671901e-06
180418A,826428,Gemini North,GMOS,i,7713.83,14724,21.2,0.2,GCN 22659,0.02,0.032292833507853405,1.2386350988188584e-05 ± 2.281650171359608e-06
180418A,826428,Gemini North,GMOS,z,9571.59,14724,21.9,0.4,GCN 22659,0.02,0.022325695652173908,6.441047874751157e-06 ± 2.372969731146079e-06
180418A,826428,Gemini North,GMOS,g,4647.53,15552.0,22.07,0.15,2021ApJ...912...95R,0.02,0.0672853987975952,5.740376904187324e-06 ± 7.930623772649424e-07
180418A,826428,Gemini North,GMOS,z,9571.59,16416.0,21.55,0.1,2021ApJ...912...95R,0.02,0.022325695652173908,8.891121133860326e-06 ± 8.189025193132444e-07
180418A,826428,Devasthal,ADFOSC,r,,28800.0,22.3,0.1,GCN 22663,0.02,,"nan"
180418A,826428,Xinglong,TNT,R,6695.58,29520,20.0,3-sigma,GCN 22661,0.02,0.04054660292983809,"3.769162747193563e-05 (+0.0, -inf)"
180418A,826428,Ishigakijima,Murikabushi,g',4727.8,30960.0,22.8,UL,GCN 22670,0.02,0.06588178899082568,"2.926705101035453e-06 (+0.0, -inf)"
180418A,826428,Ishigakijima,Murikabushi,Rc,6479.38,30960.0,22.4,0.5,GCN 22670,0.02,0.0428217748917749,4.141474187371281e-06 ± 1.9072193453721485e-06
180418A,826428,Ishigakijima,Murikabushi,Ic,7845.53,30960.0,22.0,UL,GCN 22670,0.02,0.03142759259259259,"5.923757696237583e-06 (+0.0, -inf)"
180418A,826428,OSN,1.5m,I,8565.14,46800.0,21.0,UL,GCN 22657,0.02,0.027048313697144923,"1.4819910278873468e-05 (+0.0, -inf)"
180418A,826428,NOT,StanCam,r,6435.17,56592.0,22.7,0.15,GCN 22660,0.02,0.04330023809523809,3.143014207277563e-06 ± 4.342234596447489e-07
180418A,826428,La Silla,GROND,g',4504.49,67320.0,23.6,0.14,GCN 22662,0.02,0.06958265605362379,1.4055921121436194e-06 ± 1.8124374487810715e-07
180418A,826428,La Silla,GROND,r',6097.98,67320.0,23.24,0.13,GCN 22662,0.02,0.04666789794786468,1.9173147268727545e-06 ± 2.2956857605110807e-07
180418A,826428,La Silla,GROND,i',7604.74,67320.0,22.88,0.21,GCN 22662,0.02,0.03304532970027248,2.6378152869178307e-06 ± 5.101987092492198e-07
180418A,826428,La Silla,GROND,z',8929.33,67320.0,22.96,UL,GCN 22662,0.02,0.02522959810874704,"2.4328654347904014e-06 (+0.0, -inf)"
180418A,826428,La Silla,GROND,J,12246.51,67320.0,21.16,UL,GCN 22662,0.02,0.014756634928804253,"1.2645293180240175e-05 (+0.0, -inf)"
180418A,826428,La Silla,GROND,H,16330.2,67320.0,20.67,UL,GCN 22662,0.02,0.00922459213592963,"1.9756776449012414e-05 (+0.0, -inf)"
