GRB ID,X-Ray dt [hr],Optical dt [hr],|dt_x - dt_o| [hr],Beta_X,Beta_X Upper Sigma,Beta_X Lower Sigma,Beta_OX,Upper Bound of Sigma_OX,Lower Bound of Sigma_OX,
ID-051221A,41.67,51.60,9.93,-1.00,0.20,0.20,-0.63,0.04,0.03
ID-051221A,44.44,51.60,7.16,-1.00,0.20,0.20,-0.64,0.04,0.04
ID-051221A,69.44,75.70,6.26,-1.00,0.20,0.20,-0.68,0.08,0.07
ID-051221A,86.11,75.70,10.41,-1.00,0.20,0.20,-0.75,0.08,0.08
ID-051221A,105.56,123.60,18.04,-1.00,0.20,0.20,-0.73,0.07,0.07
ID-051221A,130.56,123.60,6.96,-1.00,0.20,0.20,-0.72,0.07,0.07
ID-051221A,108.33,123.60,15.27,-1.00,0.20,0.20,-0.71,0.06,0.06
ID-051221A,111.11,123.60,12.49,-1.00,0.20,0.20,-0.72,0.06,0.06
ID-051221A,113.89,123.60,9.71,-1.00,0.20,0.20,-0.73,0.06,0.06
ID-051221A,130.56,147.80,17.24,-1.00,0.20,0.20,-0.64,0.03,0.03
ID-051221A,152.78,147.80,4.98,-1.00,0.20,0.20,-0.69,0.03,0.04
ID-060121,3.06,2.60,0.46,-1.07,0.16,0.16,-0.37,0.09,0.09
ID-060121,3.06,2.60,0.46,-1.07,0.16,0.16,-0.43,0.09,0.08
ID-060121,3.06,2.60,0.46,-1.07,0.16,0.16,-0.42,0.09,0.08
ID-060121,3.06,2.60,0.46,-1.07,0.16,0.16,-0.41,0.09,0.09
ID-060121,3.06,2.60,0.46,-1.07,0.16,0.16,-0.46,0.26,0.00
ID-060121,3.06,2.70,0.36,-1.07,0.16,0.16,-0.44,0.07,0.07
ID-060121,3.06,2.70,0.36,-1.07,0.16,0.16,-0.49,0.07,0.07
ID-060121,3.06,2.70,0.36,-1.07,0.16,0.16,-0.48,0.07,0.07
ID-060121,3.06,2.70,0.36,-1.07,0.16,0.16,-0.48,0.07,0.07
ID-060121,3.06,2.70,0.36,-1.07,0.16,0.16,-0.53,0.23,0.00
ID-060121,3.06,2.80,0.26,-1.07,0.16,0.16,-0.29,0.08,0.08
ID-060121,3.06,2.80,0.26,-1.07,0.16,0.16,-0.35,0.08,0.08
ID-060121,3.06,2.80,0.26,-1.07,0.16,0.16,-0.34,0.08,0.08
ID-060121,3.06,2.80,0.26,-1.07,0.16,0.16,-0.33,0.08,0.08
ID-060121,3.06,2.80,0.26,-1.07,0.16,0.16,-0.38,0.25,0.00
ID-060121,3.33,2.80,0.53,-1.07,0.16,0.16,-0.31,0.08,0.08
ID-060121,3.33,2.80,0.53,-1.07,0.16,0.16,-0.32,0.08,0.08
ID-060121,3.33,2.80,0.53,-1.07,0.16,0.16,-0.29,0.08,0.08
ID-060121,3.33,2.80,0.53,-1.07,0.16,0.16,-0.37,0.09,0.09
ID-060121,3.33,2.80,0.53,-1.07,0.16,0.16,-0.37,0.08,0.07
ID-060121,3.33,3.90,0.57,-1.07,0.16,0.16,-0.12,0.09,0.08
ID-060121,3.33,3.90,0.57,-1.07,0.16,0.16,-0.12,0.09,0.08
ID-060121,3.33,3.90,0.57,-1.07,0.16,0.16,-0.10,0.09,0.08
ID-060121,3.33,3.90,0.57,-1.07,0.16,0.16,-0.18,0.09,0.09
ID-060121,3.33,3.90,0.57,-1.07,0.16,0.16,-0.17,0.09,0.08
ID-060121,4.44,3.90,0.54,-1.07,0.16,0.16,-0.22,0.09,0.09
