GRB ID,X-Ray dt [hr],Optical dt [hr],|dt_x - dt_o| [hr],Beta_X,Beta_X Upper Sigma, Lower Sigma,Beta_OX, Bound of Sigma_OX,Lower Bound of Sigma_OX
ID-051221A,55.55555555555556,51.3,4.2555555555555555,-1.0,0.2,0.2,-0.6659313487309916,0.10409706589850526,0.07709021889499043
ID-051221A,55.55555555555556,51.6,3.9555555555555557,-1.0,0.2,0.2,-0.6855182848661187,0.04210682125034078,0.04331139735056363
ID-051221A,69.44444444444444,75.7,6.2555555555555555,-1.0,0.2,0.2,-0.6753383881189214,0.07820761789703402,0.06660188834539245
ID-051221A,130.55555555555554,123.6,6.955555555555556,-1.0,0.2,0.2,-0.7154602911668931,0.06776542508091782,0.06568191975180328
ID-051221A,113.88888888888889,123.6,9.71111111111111,-1.0,0.2,0.2,-0.7299326146059347,0.06219132336033893,0.05783409215599862
ID-051221A,152.77777777777777,147.8,4.977777777777778,-1.0,0.2,0.2,-0.6881640833528405,0.031082787138587878,0.03858211098073992
ID-060121,3.0555555555555554,2.8,0.25555555555555554,-1.07,0.16,0.16,-0.2872016614197057,0.08135795715389779,0.07863464475300737
ID-060121,3.0555555555555554,2.8,0.25555555555555554,-1.07,0.16,0.16,-0.346661966927345,0.08092745478560331,0.07795007299281248
ID-060121,3.0555555555555554,2.8,0.25555555555555554,-1.07,0.16,0.16,-0.335669762895258,0.0804110077699142,0.07713511589707199
ID-060121,3.0555555555555554,2.8,0.25555555555555554,-1.07,0.16,0.16,-0.32874155114674203,0.08194445334015224,0.07957503746854684
ID-060121,3.0555555555555554,2.8,0.25555555555555554,-1.07,0.16,0.16,-0.3803285272743024,0.2506897672141587,nan
ID-060121,4.444444444444445,4.4,0.04444444444444394,-1.07,0.16,0.16,-0.4528488993008026,0.06812713709898721,0.07362772549374272
ID-060121,4.444444444444445,4.4,0.04444444444444394,-1.07,0.16,0.16,-0.4716603944165457,0.06900807210447187,0.07512457910795134
ID-060121,4.444444444444445,4.4,0.04444444444444394,-1.07,0.16,0.16,-0.3941184304627784,0.06823582244620807,0.07381119835892548
ID-060121,4.722222222222222,4.4,0.32222222222222174,-1.07,0.16,0.16,-0.4414359658130986,0.06895353458931751,0.07503126148240577
ID-060121,4.722222222222222,4.4,0.32222222222222174,-1.07,0.16,0.16,-0.43078447887652477,0.06844597130755058,0.07416690699499756
ID-060121,4.722222222222222,4.4,0.32222222222222174,-1.07,0.16,0.16,-0.4257137954801628,0.06861225254232858,0.07444925839110358
ID-060121,5.0,5.4,0.4,-1.07,0.16,0.16,-0.20141919096099453,0.12095443948076534,0.10315864296735404
ID-060121,5.0,5.4,0.4,-1.07,0.16,0.16,-0.18365499869033952,0.12113069086327719,0.10346033641506452
ID-060121,5.0,5.4,0.4,-1.07,0.16,0.16,-0.29435969167884846,0.11363744361833603,0.09138004964059687
ID-060121,6.111111111111111,5.6,0.5111111111111111,-1.07,0.16,0.16,-0.24701850925431207,0.06961659614128711,0.07281910712022613
ID-060121,47.22222222222222,51.5,4.277777777777778,-1.07,0.16,0.16,-0.4268064778145682,0.08422885709361537,0.08499212592708102
ID-060121,50.0,51.5,1.5,-1.07,0.16,0.16,-0.44933857971967195,0.07843839162932491,0.07552935085676306
ID-060121,55.55555555555556,51.5,4.055555555555555,-1.07,0.16,0.16,-0.6109045089986367,0.08467188958734433,0.08575448112909548
ID-060121,116.66666666666667,127.8,11.133333333333333,-1.07,0.16,0.16,-0.5300301298691641,0.003870685996880309,0.00398567353319437
ID-060313,1.1666666666666667,1.2,0.03333333333333333,-0.96,0.09,0.09,-0.5354500983157365,0.085879551842202,0.1085468583109989
ID-060313,1.1944444444444444,1.2,0.005555555555555556,-0.96,0.09,0.09,-0.5235612792238941,0.08257168943237143,0.10108385488559549
ID-060313,1.2222222222222223,1.2,0.022222222222222223,-0.96,0.09,0.09,-0.49241367574482925,0.0817833554474726,0.09937718301196041
ID-060313,1.25,1.2,0.05,-0.96,0.09,0.09,-0.5482910011699933,0.08103248698027826,0.09777599247576492
ID-060313,1.3055555555555556,1.2,0.10555555555555556,-0.96,0.09,0.09,-0.5482910011699933,0.08298892150917445,0.10199796358732743
ID-060313,1.1944444444444444,1.3,0.10555555555555556,-0.96,0.09,0.09,-0.44171675384187525,0.11061816595971218,0.12164623614251721
ID-060313,1.2222222222222223,1.3,0.07777777777777778,-0.96,0.09,0.09,-0.4086302308784053,0.10978075866088835,0.11983332497661998
ID-060313,1.25,1.3,0.05,-0.96,0.09,0.09,-0.4679858860272708,0.10898314908559406,0.11813246129764286
ID-060313,1.3055555555555556,1.3,0.005555555555555556,-0.96,0.09,0.09,-0.4679858860272708,0.11106137048103329,0.12261724755825228
ID-060313,1.3333333333333333,1.3,0.03333333333333333,-0.96,0.09,0.09,-0.48281367249136725,0.10850727041166752,0.11712944461514235
ID-060313,1.3611111111111112,1.3,0.06111111111111111,-0.96,0.09,0.09,-0.48281367249136725,0.11302176070623597,0.12701117162401837
ID-060313,1.3888888888888888,1.3,0.08888888888888889,-0.96,0.09,0.09,-0.34986525931016627,0.11157698976212693,0.12375713169056184
ID-060313,1.4166666666666667,1.3,0.11666666666666667,-0.96,0.09,0.09,-0.5151273504005407,0.10952226480413187,0.11927936417221381
ID-060313,1.3611111111111112,1.5,0.1388888888888889,-0.96,0.09,0.09,-0.348806151837325,0.13512185243940394,0.14969359703084356
ID-060313,1.3888888888888888,1.5,0.1111111111111111,-0.96,0.09,0.09,-0.19427691395742847,0.1334425593394562,0.14591134571309042
ID-060313,1.4166666666666667,1.5,0.08333333333333333,-0.96,0.09,0.09,-0.3863651410792297,0.13105430156176445,0.14070672547388086
ID-060313,1.4444444444444444,1.5,0.05555555555555555,-0.96,0.09,0.09,-0.40459170560535723,0.13088101675954036,0.14033676224726563
ID-060313,1.5,1.5,0.0,-0.96,0.09,0.09,-0.45608256953762927,0.13057951312757976,0.13969546203270697
ID-060313,1.5277777777777777,1.5,0.027777777777777776,-0.96,0.09,0.09,-0.4246670140714489,0.1306705607702964,0.13988879942555094
ID-060313,1.5833333333333333,1.5,0.08333333333333333,-0.96,0.09,0.09,-0.3010381840507332,0.13438069481789272,0.1480114285914171
