ID-080503,26,Gemini-N,GMOS,r,1800,0.27,0.037
ID-080503,47.4,Gemini-N,GMOS,r,1620,0.23,0.038
ID-080503,50.2,Gemini-N,GMOS,g,720,0.12,0.024
ID-080503,74,Gemini-N,GMOS,r,2700,0.19,0.046
ID-080503,97.1,Gemini-N,GMOS,r,2880,0.13,0.025
ID-080503,125,Gemini-N,NIRI,K_s,2760,0.7,0
ID-080503,128.6,HST,WFPC2,F606W,0.067,0.011,0
ID-080702A,12.06,Loiano,--,R,1800,44.92,0
ID-080905A,8.5,NOT,ALFOSC,R,1800,0.72,0.39
ID-080905A,14.3,VLT,FORS2,R,1800,0.59,0.2
ID-080905A,17.5,ESO/MPG,GROND,r,2400,3.7,0
ID-080905A,17.5,ESO/MPG,GROND,J,660,27.5,0
ID-080905A,36,VLT,FORS2,R,660,0.3,0
ID-080919,0.19,ESO/MPG,GROND,J,2400,73.3,0
ID-081024A,1.9,FaulkesNorth,--,R,0,93.93,0
ID-081024B,30,P200,LFC,R,600,1.36,0
ID-081226A,0.37,ESO/MPG,GROND,r,0,1.9,0.42
ID-081226A,1.1,ESO/MPG,GROND,g,0,0.38,0.12
ID-081226A,1.1,ESO/MPG,GROND,r,0,0.63,0.16
ID-081226A,1.1,ESO/MPG,GROND,i,0,0.81,0.31
ID-081226A,1.1,ESO/MPG,GROND,z,0,1.4,0.35
ID-081226A,1.1,ESO/MPG,GROND,J,0,7.7,0
ID-081226B,2.7,Swift,UVOT,B,1414,14.45,0
ID-090305,0.47,ESO/MPG,GROND,r,0,3,0.084
ID-090305,0.56,ESO/MPG,GROND,r,0,3.1,0.27
ID-090305,0.56,ESO/MPG,GROND,i,0,3.3,0.59
ID-090305,0.6,ESO/MPG,GROND,r,0,2.9,0.082
ID-090305,0.61,Gemini-S,GMOS,r,900,1.8,0.034
ID-090305,0.71,ESO/MPG,GROND,g,0,2.1,0.4
ID-090305,0.71,ESO/MPG,GROND,r,0,2.8,0.35
ID-090305,0.79,ESO/MPG,GROND,g,0,1.9,0.09
ID-090305,0.92,ESO/MPG,GROND,g,0,2.1,0.31
ID-090305,0.92,ESO/MPG,GROND,r,0,2.1,0.032
ID-090305,0.92,ESO/MPG,GROND,i,0,2.5,0.49
